A Nehra,AD Mascarenhas,2,0,0,0,0,0,2,3,0
A Nehra,AD Russell,1,0,0,0,0,0,1,3,0
A Nehra,DJ Bravo,0,0,0,0,0,0,0,1,1
A Nehra,GB Hogg,0,0,0,0,0,0,0,1,0
A Nehra,Harmeet Singh,3,0,0,1,0,0,7,6,0
A Nehra,IK Pathan,1,0,0,0,0,0,1,9,1
A Nehra,J Theron,1,0,0,0,0,0,1,2,0
A Nehra,Joginder Sharma,1,0,0,0,0,0,1,2,0
A Nehra,KA Pollard,0,0,0,0,0,0,0,1,1
A Nehra,MA Starc,0,0,0,0,0,0,0,2,0
A Nehra,MG Johnson,1,0,0,0,0,0,1,2,0
A Nehra,MR Marsh,1,0,0,1,0,0,5,4,0
A Nehra,NLTC Perera,0,0,0,0,0,0,0,1,1
A Nehra,NM Coulter-Nile,1,0,0,0,0,0,1,1,0
A Nehra,P Awana,0,0,0,0,0,0,0,2,0
A Nehra,R Sharma,1,0,0,0,0,1,7,3,0
A Nehra,S Sreesanth,1,0,0,0,0,0,1,3,0
A Nehra,SL Malinga,0,0,0,0,0,0,0,3,1
A Nehra,SP Narine,0,0,0,0,0,0,0,1,1
A Nehra,STR Binny,1,1,0,1,0,0,7,4,0
A Nehra,SW Tait,2,0,0,0,0,0,2,4,0
A Nehra,VRV Singh,1,0,0,0,0,0,1,2,0
A Nehra,WPUJC Vaas,3,0,0,0,0,0,3,3,0
A Singh,A Mishra,0,0,0,0,0,0,0,1,1
A Singh,AB Agarkar,1,0,0,0,0,0,1,2,0
A Singh,DE Bollinger,1,0,0,0,0,0,1,1,0
A Singh,KA Pollard,0,0,0,0,0,0,0,3,1
A Singh,Shakib Al Hasan,0,0,0,0,0,0,0,2,1
A Singh,SK Raina,0,0,0,0,0,0,0,1,1
A Symonds,A Kumble,5,2,0,1,0,0,13,13,2
A Symonds,A Mishra,12,7,0,1,0,5,60,42,3
A Symonds,A Nehra,2,0,0,0,0,0,2,2,0
A Symonds,AB Agarkar,13,2,0,1,0,1,27,20,1
A Symonds,AB Dinda,0,0,0,0,0,0,0,2,0
A Symonds,AC Thomas,2,0,0,0,0,0,2,4,0
A Symonds,AD Mathews,3,2,0,0,0,0,7,8,0
A Symonds,AL Menaria,1,0,0,0,0,0,1,1,0
A Symonds,Anand Rajan,1,0,0,0,0,0,1,2,0
A Symonds,AP Dole,3,0,0,0,0,0,3,5,0
A Symonds,B Akhil,2,0,0,0,0,0,2,2,0
A Symonds,B Lee,4,1,0,0,0,0,6,9,0
A Symonds,BA Bhatt,2,0,0,0,0,0,2,4,0
A Symonds,Bipul Sharma,3,1,1,0,0,1,14,9,0
A Symonds,BJ Hodge,1,0,0,0,0,0,1,2,0
A Symonds,CH Gayle,1,0,0,0,0,0,1,2,1
A Symonds,CK Langeveldt,1,0,0,0,0,0,1,3,0
A Symonds,D Salunkhe,1,0,0,0,0,1,7,2,0
A Symonds,DE Bollinger,4,0,0,1,0,0,8,9,0
A Symonds,DJ Bravo,1,0,0,1,0,0,5,3,0
A Symonds,DJ Hussey,3,0,0,1,0,2,19,10,0
A Symonds,DP Nannes,6,2,0,4,0,0,26,14,0
A Symonds,DT Christian,5,1,0,1,0,0,11,12,0
A Symonds,DW Steyn,8,3,0,4,0,1,36,24,1
A Symonds,GD McGrath,0,0,0,2,0,0,8,5,0
A Symonds,I Sharma,7,1,0,1,0,0,13,16,1
A Symonds,IK Pathan,4,1,0,1,0,1,16,11,0
A Symonds,J Botha,1,0,0,0,0,0,1,3,1
A Symonds,J Theron,1,0,0,0,0,0,1,3,1
A Symonds,JA Morkel,6,2,0,2,0,1,24,18,0
A Symonds,JE Taylor,1,1,0,0,0,0,3,3,1
A Symonds,JH Kallis,7,0,0,4,0,1,29,17,0
A Symonds,JM Kemp,1,0,0,0,0,0,1,6,0
A Symonds,Joginder Sharma,1,0,0,0,0,1,7,2,0
A Symonds,JR Hopes,1,0,0,0,0,0,1,1,0
A Symonds,KA Pollard,3,1,0,0,0,0,5,6,0
A Symonds,KP Appanna,4,0,0,1,0,0,8,5,0
A Symonds,L Balaji,5,0,0,1,0,2,21,13,0
A Symonds,M Kartik,10,2,0,1,0,0,18,22,0
A Symonds,M Morkel,4,0,0,2,0,0,12,14,0
A Symonds,M Muralitharan,5,0,0,0,0,0,5,15,0
A Symonds,Mashrafe Mortaza,0,0,0,0,0,0,0,1,0
